NOME: Abreu e Lima; Código do Município: 2600054; Gentílico: abreu-limense; Prefeito: MARCOS JOSÉ DA SILVA;  --  ABA POPULAÇÃO; POPULAÇÃO: 99.622 pessoas  ; populacao_no_ultimo_censo_2010: 94.429 pessoas  ; densidade_demografica_2010: 748,29 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,9 salários mínimos  ; pessoal_ocupado_2016: 11.780 pessoas  ; populacao_ocupada_2016: 11,9 %  ; percentual_da_populacao_per_capita: 43,3 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 97,2 %  ; IDEB_anos_iniciais_2015: 4,3  ; IDEB_anos_finais_2015: 3,5  ; matriculas_fundamental_2017: 12.707 matrículas  ; matriculas_medio_2017: 3.317 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 216 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 68 escolas  ; numero_estabelecimentos_ensino_medio_2017: 13 escolas  ;  -- aba economia; pib_per_capita_2016: 14.390,40 R$  ; receitas_fontes_externas_2015: 89,3 %  ; idhm_2010: 0,679  ; receitas_realizadas_2017: 154.773,90 R$ (×1000)  ; despesas_empenhadas_2017: 150.392,49 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 15,74 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,5 internações por mil habitantes  ; estabelecimentos_sus_2009: 31 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 126,193 km²  ; sanitario_adequado_2010: 44,8 %  ; vias_publicas_2010: 24,1 %  ; Urbanização_publicas_2010: 6,9 %  
NOME: Calumbi; Código do Município: 2603405; Gentílico: calumbiense; Prefeito: SANDRA DE CACIA PEREIRA DE MAGALHAES NOV;  --  ABA POPULAÇÃO; POPULAÇÃO: 5.753 pessoas  ; populacao_no_ultimo_censo_2010: 5.648 pessoas  ; densidade_demografica_2010: 31,50 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,7 salários mínimos  ; pessoal_ocupado_2016: 327 pessoas  ; populacao_ocupada_2016: 5,7 %  ; percentual_da_populacao_per_capita: 49,9 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 95,3 %  ; IDEB_anos_iniciais_2015: 4,6  ; IDEB_anos_finais_2015: 4,2  ; matriculas_fundamental_2017: 1.046 matrículas  ; matriculas_medio_2017: 226 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 10 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 14 escolas  ; numero_estabelecimentos_ensino_medio_2017: 1 escolas  ;  -- aba economia; pib_per_capita_2016: 7.383,91 R$  ; receitas_fontes_externas_2015: 93,8 %  ; idhm_2010: 0,571  ; receitas_realizadas_2017: 21.225,39 R$ (×1000)  ; despesas_empenhadas_2017: 20.122,05 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: - óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 4,9 internações por mil habitantes  ; estabelecimentos_sus_2009: 6 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 179,314 km²  ; sanitario_adequado_2010: 45,7 %  ; vias_publicas_2010: 96,4 %  ; Urbanização_publicas_2010: 0 %  
NOME: Camaragibe; Código do Município: 2603454; Gentílico: camaragibense; Prefeito: DEMOSTENES E SILVA MEIRA;  --  ABA POPULAÇÃO; POPULAÇÃO: 156.736 pessoas  ; populacao_no_ultimo_censo_2010: 144.466 pessoas  ; densidade_demografica_2010: 2.818,46 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,7 salários mínimos  ; pessoal_ocupado_2016: 12.499 pessoas  ; populacao_ocupada_2016: 8,1 %  ; percentual_da_populacao_per_capita: 41,9 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 97,4 %  ; IDEB_anos_iniciais_2015: 4,7  ; IDEB_anos_finais_2015: 4  ; matriculas_fundamental_2017: 20.289 matrículas  ; matriculas_medio_2017: 7.002 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 445 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 73 escolas  ; numero_estabelecimentos_ensino_medio_2017: 25 escolas  ;  -- aba economia; pib_per_capita_2016: 9.506,73 R$  ; receitas_fontes_externas_2015: 75,5 %  ; idhm_2010: 0,692  ; receitas_realizadas_2017: 281.348,78 R$ (×1000)  ; despesas_empenhadas_2017: 230.504,36 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 13,3 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,5 internações por mil habitantes  ; estabelecimentos_sus_2009: 49 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 51,257 km²  ; sanitario_adequado_2010: 40,5 %  ; vias_publicas_2010: 30,5 %  ; Urbanização_publicas_2010: 12,9 %  
NOME: Camocim de São Félix; Código do Município: 2603504; Gentílico: camociense ou camocinense; Prefeito: GIORGE DO CARMO BEZERRA;  --  ABA POPULAÇÃO; POPULAÇÃO: 18.627 pessoas  ; populacao_no_ultimo_censo_2010: 17.104 pessoas  ; densidade_demografica_2010: 235,99 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,8 salários mínimos  ; pessoal_ocupado_2016: 1.050 pessoas  ; populacao_ocupada_2016: 5,7 %  ; percentual_da_populacao_per_capita: 50,9 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 97 %  ; IDEB_anos_iniciais_2015: 5,7  ; IDEB_anos_finais_2015: 4,3  ; matriculas_fundamental_2017: 2.927 matrículas  ; matriculas_medio_2017: 392 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 16 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 17 escolas  ; numero_estabelecimentos_ensino_medio_2017: 1 escolas  ;  -- aba economia; pib_per_capita_2016: 8.176,94 R$  ; receitas_fontes_externas_2015: 90 %  ; idhm_2010: 0,588  ; receitas_realizadas_2017: 39.319,77 R$ (×1000)  ; despesas_empenhadas_2017: 36.025,38 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 24,88 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,3 internações por mil habitantes  ; estabelecimentos_sus_2009: 8 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 71,985 km²  ; sanitario_adequado_2010: 76,2 %  ; vias_publicas_2010: 14,3 %  ; Urbanização_publicas_2010: 2,9 %  
NOME: Camutanga; Código do Município: 2603603; Gentílico: camutanguense; Prefeito: ARMANDO PIMENTEL DA ROCHA;  --  ABA POPULAÇÃO; POPULAÇÃO: 8.530 pessoas  ; populacao_no_ultimo_censo_2010: 8.156 pessoas  ; densidade_demografica_2010: 217,39 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 2,0 salários mínimos  ; pessoal_ocupado_2016: 4.345 pessoas  ; populacao_ocupada_2016: 51,3 %  ; percentual_da_populacao_per_capita: 50,7 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 97,9 %  ; IDEB_anos_iniciais_2015: 4,1  ; IDEB_anos_finais_2015: 3,4  ; matriculas_fundamental_2017: 1.510 matrículas  ; matriculas_medio_2017: 268 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 14 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 13 escolas  ; numero_estabelecimentos_ensino_medio_2017: 1 escolas  ;  -- aba economia; pib_per_capita_2016: 22.866,63 R$  ; receitas_fontes_externas_2015: 89,7 %  ; idhm_2010: 0,606  ; receitas_realizadas_2017: 33.111,61 R$ (×1000)  ; despesas_empenhadas_2017: 30.565,26 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 7,63 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,7 internações por mil habitantes  ; estabelecimentos_sus_2009: 10 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 39,116 km²  ; sanitario_adequado_2010: 29,4 %  ; vias_publicas_2010: 84,3 %  ; Urbanização_publicas_2010: 37,1 %  
NOME: Canhotinho; Código do Município: 2603702; Gentílico: canhotinhense; Prefeito: FELIPE PORTO DE BARROS WANDERLEY LIMA;  --  ABA POPULAÇÃO; POPULAÇÃO: 24.835 pessoas  ; populacao_no_ultimo_censo_2010: 24.521 pessoas  ; densidade_demografica_2010: 57,96 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,6 salários mínimos  ; pessoal_ocupado_2016: 1.262 pessoas  ; populacao_ocupada_2016: 5,1 %  ; percentual_da_populacao_per_capita: 55,4 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 91,8 %  ; IDEB_anos_iniciais_2015: 4,7  ; IDEB_anos_finais_2015: 3,9  ; matriculas_fundamental_2017: 3.475 matrículas  ; matriculas_medio_2017: 594 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 27 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 29 escolas  ; numero_estabelecimentos_ensino_medio_2017: 2 escolas  ;  -- aba economia; pib_per_capita_2016: 8.029,51 R$  ; receitas_fontes_externas_2015: 91,2 %  ; idhm_2010: 0,541  ; receitas_realizadas_2017: 60.821,07 R$ (×1000)  ; despesas_empenhadas_2017: 55.903,85 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 24,32 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,6 internações por mil habitantes  ; estabelecimentos_sus_2009: 15 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 423,168 km²  ; sanitario_adequado_2010: 54,2 %  ; vias_publicas_2010: 56,8 %  ; Urbanização_publicas_2010: 13,9 %  
NOME: Capoeiras; Código do Município: 2603801; Gentílico: capoeirense; Prefeito: LUCINEIDE ALMEIDA REINO;  --  ABA POPULAÇÃO; POPULAÇÃO: 20.048 pessoas  ; populacao_no_ultimo_censo_2010: 19.593 pessoas  ; densidade_demografica_2010: 58,26 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,7 salários mínimos  ; pessoal_ocupado_2016: 911 pessoas  ; populacao_ocupada_2016: 4,6 %  ; percentual_da_populacao_per_capita: 54,2 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 96,5 %  ; IDEB_anos_iniciais_2015: 5  ; IDEB_anos_finais_2015: 4  ; matriculas_fundamental_2017: 2.745 matrículas  ; matriculas_medio_2017: 807 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 29 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 25 escolas  ; numero_estabelecimentos_ensino_medio_2017: 1 escolas  ;  -- aba economia; pib_per_capita_2016: 8.019,46 R$  ; receitas_fontes_externas_2015: 91,4 %  ; idhm_2010: 0,549  ; receitas_realizadas_2017: 48.393,02 R$ (×1000)  ; despesas_empenhadas_2017: 45.999,66 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 13,89 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 1,6 internações por mil habitantes  ; estabelecimentos_sus_2009: 12 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 336,329 km²  ; sanitario_adequado_2010: 31,6 %  ; vias_publicas_2010: 46,4 %  ; Urbanização_publicas_2010: 7,3 %  
NOME: Carnaíba; Código do Município: 2603900; Gentílico: carnaibano; Prefeito: JOSE DE ANCHIETA GOMES PATRIOTA;  --  ABA POPULAÇÃO; POPULAÇÃO: 19.491 pessoas  ; populacao_no_ultimo_censo_2010: 18.574 pessoas  ; densidade_demografica_2010: 43,42 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,8 salários mínimos  ; pessoal_ocupado_2016: 1.209 pessoas  ; populacao_ocupada_2016: 6,2 %  ; percentual_da_populacao_per_capita: 54,9 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 96,1 %  ; IDEB_anos_iniciais_2015: 6,1  ; IDEB_anos_finais_2015: 4,5  ; matriculas_fundamental_2017: 3.051 matrículas  ; matriculas_medio_2017: 757 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 45 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 19 escolas  ; numero_estabelecimentos_ensino_medio_2017: 3 escolas  ;  -- aba economia; pib_per_capita_2016: 7.277,43 R$  ; receitas_fontes_externas_2015: 95 %  ; idhm_2010: 0,583  ; receitas_realizadas_2017: 46.405,34 R$ (×1000)  ; despesas_empenhadas_2017: 41.106,30 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 14,08 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,3 internações por mil habitantes  ; estabelecimentos_sus_2009: 9 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 427,802 km²  ; sanitario_adequado_2010: 41,9 %  ; vias_publicas_2010: 84,7 %  ; Urbanização_publicas_2010: 1,1 %  
NOME: Carnaubeira da Penha; Código do Município: 2603926; Gentílico: carnaubeirense; Prefeito: MANOEL JOSE DA SILVA;  --  ABA POPULAÇÃO; POPULAÇÃO: 12.836 pessoas  ; populacao_no_ultimo_censo_2010: 11.782 pessoas  ; densidade_demografica_2010: 11,73 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,6 salários mínimos  ; pessoal_ocupado_2016: 415 pessoas  ; populacao_ocupada_2016: 3,3 %  ; percentual_da_populacao_per_capita: 55 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 98,1 %  ; IDEB_anos_iniciais_2015: 4,7  ; IDEB_anos_finais_2015: 4,1  ; matriculas_fundamental_2017: 2.588 matrículas  ; matriculas_medio_2017: 623 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 78 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 59 escolas  ; numero_estabelecimentos_ensino_medio_2017: 9 escolas  ;  -- aba economia; pib_per_capita_2016: 5.824,91 R$  ; receitas_fontes_externas_2015: 90,4 %  ; idhm_2010: 0,573  ; receitas_realizadas_2017: 26.786,40 R$ (×1000)  ; despesas_empenhadas_2017: 28.037,74 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 9,9 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 3,1 internações por mil habitantes  ; estabelecimentos_sus_2009: 9 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 1.004,667 km²  ; sanitario_adequado_2010: 14,2 %  ; vias_publicas_2010: 91,9 %  ; Urbanização_publicas_2010: 0,2 %  
NOME: Carpina; Código do Município: 2604007; Gentílico: carpinense; Prefeito: MANUEL SEVERINO DA SILVA;  --  ABA POPULAÇÃO; POPULAÇÃO: 82.872 pessoas  ; populacao_no_ultimo_censo_2010: 74.858 pessoas  ; densidade_demografica_2010: 516,51 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,7 salários mínimos  ; pessoal_ocupado_2016: 11.548 pessoas  ; populacao_ocupada_2016: 14,1 %  ; percentual_da_populacao_per_capita: 45,1 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 95,5 %  ; IDEB_anos_iniciais_2015: 4,7  ; IDEB_anos_finais_2015: 3,7  ; matriculas_fundamental_2017: 10.499 matrículas  ; matriculas_medio_2017: 3.096 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 222 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 59 escolas  ; numero_estabelecimentos_ensino_medio_2017: 13 escolas  ;  -- aba economia; pib_per_capita_2016: 15.520,94 R$  ; receitas_fontes_externas_2015: 83,1 %  ; idhm_2010: 0,680  ; receitas_realizadas_2017: 141.304,60 R$ (×1000)  ; despesas_empenhadas_2017: 127.645,63 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 10,89 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,3 internações por mil habitantes  ; estabelecimentos_sus_2009: 29 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 147,665 km²  ; sanitario_adequado_2010: 15 %  ; vias_publicas_2010: 74,3 %  ; Urbanização_publicas_2010: 1,7 %  
NOME: Caruaru; Código do Município: 2604106; Gentílico: caruaruense; Prefeito: RAQUEL TEIXEIRA LYRA;  --  ABA POPULAÇÃO; POPULAÇÃO: 356.872 pessoas  ; populacao_no_ultimo_censo_2010: 314.912 pessoas  ; densidade_demografica_2010: 342,07 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,6 salários mínimos  ; pessoal_ocupado_2016: 84.645 pessoas  ; populacao_ocupada_2016: 24,1 %  ; percentual_da_populacao_per_capita: 36,3 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 94,9 %  ; IDEB_anos_iniciais_2015: 4,5  ; IDEB_anos_finais_2015: 3,8  ; matriculas_fundamental_2017: 49.791 matrículas  ; matriculas_medio_2017: 13.495 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 614 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 205 escolas  ; numero_estabelecimentos_ensino_medio_2017: 33 escolas  ;  -- aba economia; pib_per_capita_2016: 17.880,19 R$  ; receitas_fontes_externas_2015: 69,8 %  ; idhm_2010: 0,677  ; receitas_realizadas_2017: 669.460,38 R$ (×1000)  ; despesas_empenhadas_2017: 617.694,33 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 12,03 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,3 internações por mil habitantes  ; estabelecimentos_sus_2009: 108 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 920,610 km²  ; sanitario_adequado_2010: 81,3 %  ; vias_publicas_2010: 61,8 %  ; Urbanização_publicas_2010: 3,4 %  
NOME: Casinhas; Código do Município: 2604155; Gentílico: casinhense; Prefeito: JOAO BARBOSA CAMELO NETO;  --  ABA POPULAÇÃO; POPULAÇÃO: 14.313 pessoas  ; populacao_no_ultimo_censo_2010: 13.766 pessoas  ; densidade_demografica_2010: 118,81 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,6 salários mínimos  ; pessoal_ocupado_2016: 678 pessoas  ; populacao_ocupada_2016: 4,8 %  ; percentual_da_populacao_per_capita: 51,9 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 97,5 %  ; IDEB_anos_iniciais_2015: 4,5  ; IDEB_anos_finais_2015: 3,6  ; matriculas_fundamental_2017: 1.967 matrículas  ; matriculas_medio_2017: 352 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 20 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 18 escolas  ; numero_estabelecimentos_ensino_medio_2017: 1 escolas  ;  -- aba economia; pib_per_capita_2016: 5.697,49 R$  ; receitas_fontes_externas_2015: 90 %  ; idhm_2010: 0,567  ; receitas_realizadas_2017: 38.794,29 R$ (×1000)  ; despesas_empenhadas_2017: 35.000,43 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 12,05 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,5 internações por mil habitantes  ; estabelecimentos_sus_2009: 10 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 115,868 km²  ; sanitario_adequado_2010: 11,5 %  ; vias_publicas_2010: 47,1 %  ; Urbanização_publicas_2010: 1,5 %  
NOME: Catende; Código do Município: 2604205; Gentílico: catendense; Prefeito: JOSIBIAS DARCY DE CASTRO CAVALCANTI;  --  ABA POPULAÇÃO; POPULAÇÃO: 42.434 pessoas  ; populacao_no_ultimo_censo_2010: 37.820 pessoas  ; densidade_demografica_2010: 182,49 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,7 salários mínimos  ; pessoal_ocupado_2016: 2.445 pessoas  ; populacao_ocupada_2016: 5,8 %  ; percentual_da_populacao_per_capita: 52 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 95,2 %  ; IDEB_anos_iniciais_2015: 4,7  ; IDEB_anos_finais_2015: 4,1  ; matriculas_fundamental_2017: 5.796 matrículas  ; matriculas_medio_2017: 1.338 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 71 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 36 escolas  ; numero_estabelecimentos_ensino_medio_2017: 6 escolas  ;  -- aba economia; pib_per_capita_2016: 6.345,61 R$  ; receitas_fontes_externas_2015: 92,2 %  ; idhm_2010: 0,609  ; receitas_realizadas_2017: 83.649,81 R$ (×1000)  ; despesas_empenhadas_2017: 78.662,80 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 11,8 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,4 internações por mil habitantes  ; estabelecimentos_sus_2009: 14 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 207,244 km²  ; sanitario_adequado_2010: 61,4 %  ; vias_publicas_2010: 38,1 %  ; Urbanização_publicas_2010: 14,2 %  
NOME: Cedro; Código do Município: 2604304; Gentílico: cedrense; Prefeito: ANTONIO INOCÊNCIO LEITE;  --  ABA POPULAÇÃO; POPULAÇÃO: 11.722 pessoas  ; populacao_no_ultimo_censo_2010: 10.778 pessoas  ; densidade_demografica_2010: 72,45 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,4 salários mínimos  ; pessoal_ocupado_2016: 675 pessoas  ; populacao_ocupada_2016: 5,8 %  ; percentual_da_populacao_per_capita: 54,2 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 95,5 %  ; IDEB_anos_iniciais_2015: 4,4  ; IDEB_anos_finais_2015: 4  ; matriculas_fundamental_2017: 1.845 matrículas  ; matriculas_medio_2017: 420 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 21 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 14 escolas  ; numero_estabelecimentos_ensino_medio_2017: 2 escolas  ;  -- aba economia; pib_per_capita_2016: 6.860,45 R$  ; receitas_fontes_externas_2015: 86,4 %  ; idhm_2010: 0,615  ; receitas_realizadas_2017: 32.206,72 R$ (×1000)  ; despesas_empenhadas_2017: 31.746,40 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 6,45 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 2,8 internações por mil habitantes  ; estabelecimentos_sus_2009: 8 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 148,746 km²  ; sanitario_adequado_2010: 53,9 %  ; vias_publicas_2010: 96,6 %  ; Urbanização_publicas_2010: 25,9 %  
NOME: Chã de Alegria; Código do Município: 2604403; Gentílico: alegriense; Prefeito: TARCISO MASSENA PEREIRA DA SILVA;  --  ABA POPULAÇÃO; POPULAÇÃO: 13.428 pessoas  ; populacao_no_ultimo_censo_2010: 12.404 pessoas  ; densidade_demografica_2010: 255,50 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,9 salários mínimos  ; pessoal_ocupado_2016: 748 pessoas  ; populacao_ocupada_2016: 5,6 %  ; percentual_da_populacao_per_capita: 51 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 97,1 %  ; IDEB_anos_iniciais_2015: 4,3  ; IDEB_anos_finais_2015: 3,6  ; matriculas_fundamental_2017: 2.152 matrículas  ; matriculas_medio_2017: 423 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 15 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 13 escolas  ; numero_estabelecimentos_ensino_medio_2017: 1 escolas  ;  -- aba economia; pib_per_capita_2016: 10.546,20 R$  ; receitas_fontes_externas_2015: 94,5 %  ; idhm_2010: 0,604  ; receitas_realizadas_2017: 29.831,12 R$ (×1000)  ; despesas_empenhadas_2017: 28.530,10 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 9,26 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,2 internações por mil habitantes  ; estabelecimentos_sus_2009: 8 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 48,548 km²  ; sanitario_adequado_2010: 19,7 %  ; vias_publicas_2010: 67,2 %  ; Urbanização_publicas_2010: 30,9 %  
NOME: Chã Grande; Código do Município: 2604502; Gentílico: chã-grandense; Prefeito: DIOGO ALEXANDRE GOMES NETO;  --  ABA POPULAÇÃO; POPULAÇÃO: 21.579 pessoas  ; populacao_no_ultimo_censo_2010: 20.137 pessoas  ; densidade_demografica_2010: 237,33 hab/km²  ;  -- aba trabalho e rendimento; salario_medio_mensal_dos_trabalhadores_formais_2016: 1,7 salários mínimos  ; pessoal_ocupado_2016: 1.546 pessoas  ; populacao_ocupada_2016: 7,2 %  ; percentual_da_populacao_per_capita: 48,4 %  ;  -- aba educacao educacao; taxa_de_escolarizacao_de_6_14_idade_2010: 96,7 %  ; IDEB_anos_iniciais_2015: -  ; IDEB_anos_finais_2015: -  ; matriculas_fundamental_2017: 3.996 matrículas  ; matriculas_medio_2017: 423 matrículas  ; docentes_fundamental_2015: docentes  ; docentes_medio_2017: 23 docentes  ; numero_estabelecimentos_ensino_fundamental_2017: 31 escolas  ; numero_estabelecimentos_ensino_medio_2017: 1 escolas  ;  -- aba economia; pib_per_capita_2016: 8.300,79 R$  ; receitas_fontes_externas_2015: 87,1 %  ; idhm_2010: 0,599  ; receitas_realizadas_2017: 52.044,77 R$ (×1000)  ; despesas_empenhadas_2017: 52.010,73 R$ (×1000)  ; -- saude saude; mortalidade_infantil_2014: 12,27 óbitos por mil nascidos vivos  ; internacoes_diarreia_2016: 0,7 internações por mil habitantes  ; estabelecimentos_sus_2009: 10 estabelecimentos  ; -- territorio e ambiente; unidade_territorial_2017: 84,848 km²  ; sanitario_adequado_2010: 45,3 %  ; vias_publicas_2010: 37,9 %  ; Urbanização_publicas_2010: 1,7 %  
